Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"1,968",70,30,0.11,0.029,14.0,1.2,5.4967,65.4
10%,"1,968",75,20,0.12,0.029,14.0,1.2,5.4967,66.0
10%,"1,968",75,30,0.11,0.029,14.0,1.2,5.4967,62.5
6%,"6,068",65,20,0.09,0.029,11.0,1.2,5.4967,142.3
6%,"6,068",65,30,0.07,0.029,11.0,1.2,5.4967,126.8
6%,"6,068",70,20,0.09,0.029,11.0,1.2,5.4967,133.4
6%,"6,068",70,30,0.07,0.029,11.0,1.2,5.4967,119.0
6%,"6,068",75,20,0.09,0.029,11.0,1.2,5.4967,125.8
6%,"6,068",75,30,0.07,0.029,11.0,1.2,5.4967,112.3
6%,"4,018",65,20,0.09,0.029,13.0,1.2,5.4967,102.8
6%,"4,018",65,30,0.07,0.029,13.0,1.2,5.4967,92.6
6%,"4,018",70,20,0.09,0.029,13.0,1.2,5.4967,97.0
6%,"4,018",70,30,0.07,0.029,13.0,1.2,5.4967,87.5
6%,"4,018",75,20,0.09,0.029,13.0,1.2,5.4967,91.9
6%,"4,018",75,30,0.07,0.029,13.0,1.2,5.4967,83.0
6%,"1,968",65,20,0.09,0.029,14.0,1.2,5.4967,62.2
6%,"1,968",65,30,0.07,0.029,14.0,1.2,5.4967,57.2
6%,"1,968",70,20,0.09,0.029,14.0,1.2,5.4967,59.4
6%,"1,968",70,30,0.07,0.029,14.0,1.2,5.4967,54.7
6%,"1,968",75,20,0.09,0.029,14.0,1.2,5.4967,56.9
6%,"1,968",75,30,0.07,0.029,14.0,1.2,5.4967,52.5
4%,"6,068",65,20,0.07,0.029,11.0,1.2,5.4967,127.8
4%,"6,068",65,30,0.06,0.029,11.0,1.2,5.4967,111.0
4%,"6,068",70,20,0.07,0.029,11.0,1.2,5.4967,120.0
4%,"6,068",70,30,0.06,0.029,11.0,1.2,5.4967,104.4
4%,"6,068",75,20,0.07,0.029,11.0,1.2,5.4967,113.2
4%,"6,068",75,30,0.06,0.029,11.0,1.2,5.4967,98.7
4%,"4,018",65,20,0.07,0.029,13.0,1.2,5.4967,93.2
4%,"4,018",65,30,0.06,0.029,13.0,1.2,5.4967,82.1
4%,"4,018",70,20,0.07,0.029,13.0,1.2,5.4967,88.1
4%,"4,018",70,30,0.06,0.029,13.0,1.2,5.4967,77.8
4%,"4,018",75,20,0.07,0.029,13.0,1.2,5.4967,83.6
4%,"4,018",75,30,0.06,0.029,13.0,1.2,5.4967,74.0
4%,"1,968",65,20,0.07,0.029,14.0,1.2,5.4967,57.5
4%,"1,968",65,30,0.06,0.029,14.0,1.2,5.4967,52.1
4%,"1,968",70,20,0.07,0.029,14.0,1.2,5.4967,55.0
4%,"1,968",70,30,0.06,0.029,14.0,1.2,5.4967,50.0
4%,"1,968",75,20,0.07,0.029,14.0,1.2,5.4967,52.8
4%,"1,968",75,30,0.06,0.029,14.0,1.2,5.4967,48.1
10%,"6,068",65,20,0.12,0.042,11.0,1.2,5.4967,188.7
10%,"6,068",65,30,0.11,0.042,11.0,1.2,5.4967,176.6
10%,"6,068",70,20,0.12,0.042,11.0,1.2,5.4967,176.5
10%,"6,068",70,30,0.11,0.042,11.0,1.2,5.4967,165.3
10%,"6,068",75,20,0.12,0.042,11.0,1.2,5.4967,166.0
10%,"6,068",75,30,0.11,0.042,11.0,1.2,5.4967,155.5
10%,"4,018",65,20,0.12,0.042,13.0,1.2,5.4967,133.6
10%,"4,018",65,30,0.11,0.042,13.0,1.2,5.4967,125.6
10%,"4,018",70,20,0.12,0.042,13.0,1.2,5.4967,125.5
10%,"4,018",70,30,0.11,0.042,13.0,1.2,5.4967,118.1
10%,"4,018",75,20,0.12,0.042,13.0,1.2,5.4967,118.6
10%,"4,018",75,30,0.11,0.042,13.0,1.2,5.4967,111.6
10%,"1,968",65,20,0.12,0.042,14.0,1.2,5.4967,77.3
10%,"1,968",65,30,0.11,0.042,14.0,1.2,5.4967,73.4
10%,"1,968",70,20,0.12,0.042,14.0,1.2,5.4967,73.4
10%,"1,968",70,30,0.11,0.042,14.0,1.2,5.4967,69.7
10%,"1,968",75,20,0.12,0.042,14.0,1.2,5.4967,69.9
10%,"1,968",75,30,0.11,0.042,14.0,1.2,5.4967,66.5
6%,"6,068",65,20,0.09,0.042,11.0,1.2,5.4967,156.4
6%,"6,068",65,30,0.07,0.042,11.0,1.2,5.4967,140.9
6%,"6,068",70,20,0.09,0.042,11.0,1.2,5.4967,146.6
6%,"6,068",70,30,0.07,0.042,11.0,1.2,5.4967,132.2
6%,"6,068",75,20,0.09,0.042,11.0,1.2,5.4967,138.0
6%,"6,068",75,30,0.07,0.042,11.0,1.2,5.4967,124.6
6%,"4,018",65,20,0.09,0.042,13.0,1.2,5.4967,112.2
6%,"4,018",65,30,0.07,0.042,13.0,1.2,5.4967,102.0
6%,"4,018",70,20,0.09,0.042,13.0,1.2,5.4967,105.7
6%,"4,018",70,30,0.07,0.042,13.0,1.2,5.4967,96.2
6%,"4,018",75,20,0.09,0.042,13.0,1.2,5.4967,100.1
6%,"4,018",75,30,0.07,0.042,13.0,1.2,5.4967,91.2
