Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,4,85,50,0.06,0.017,11.5,1.0,4.6017,59.0
6%,4,90,40,0.07,0.017,11.5,1.0,4.6017,58.1
6%,4,90,50,0.06,0.017,11.5,1.0,4.6017,56.6
4%,"7,911",80,40,0.05,0.017,10.5,1.0,4.6017,91.2
4%,"7,911",80,50,0.05,0.017,10.5,1.0,4.6017,86.8
4%,"7,911",85,40,0.05,0.017,10.5,1.0,4.6017,86.7
4%,"7,911",85,50,0.05,0.017,10.5,1.0,4.6017,82.5
4%,"7,911",90,40,0.05,0.017,10.5,1.0,4.6017,82.7
4%,"7,911",90,50,0.05,0.017,10.5,1.0,4.6017,78.8
4%,"5,956",80,40,0.05,0.017,11.0,1.0,4.6017,72.8
4%,"5,956",80,50,0.05,0.017,11.0,1.0,4.6017,69.4
4%,"5,956",85,40,0.05,0.017,11.0,1.0,4.6017,69.4
4%,"5,956",85,50,0.05,0.017,11.0,1.0,4.6017,66.2
4%,"5,956",90,40,0.05,0.017,11.0,1.0,4.6017,66.4
4%,"5,956",90,50,0.05,0.017,11.0,1.0,4.6017,63.4
4%,4,80,40,0.05,0.017,11.5,1.0,4.6017,54.4
4%,4,80,50,0.05,0.017,11.5,1.0,4.6017,52.1
4%,4,85,40,0.05,0.017,11.5,1.0,4.6017,52.1
4%,4,85,50,0.05,0.017,11.5,1.0,4.6017,49.9
4%,4,90,40,0.05,0.017,11.5,1.0,4.6017,50.1
4%,4,90,50,0.05,0.017,11.5,1.0,4.6017,48.0
10%,"7,911",80,40,0.10,0.020,10.5,1.0,4.6017,153.2
10%,"7,911",80,50,0.10,0.020,10.5,1.0,4.6017,151.6
10%,"7,911",85,40,0.10,0.020,10.5,1.0,4.6017,145.0
10%,"7,911",85,50,0.10,0.020,10.5,1.0,4.6017,143.5
10%,"7,911",90,40,0.10,0.020,10.5,1.0,4.6017,137.8
10%,"7,911",90,50,0.10,0.020,10.5,1.0,4.6017,136.4
10%,"5,956",80,40,0.10,0.020,11.0,1.0,4.6017,119.4
10%,"5,956",80,50,0.10,0.020,11.0,1.0,4.6017,118.2
10%,"5,956",85,40,0.10,0.020,11.0,1.0,4.6017,113.3
10%,"5,956",85,50,0.10,0.020,11.0,1.0,4.6017,112.1
10%,"5,956",90,40,0.10,0.020,11.0,1.0,4.6017,107.8
10%,"5,956",90,50,0.10,0.020,11.0,1.0,4.6017,106.8
10%,4,80,40,0.10,0.020,11.5,1.0,4.6017,85.7
10%,4,80,50,0.10,0.020,11.5,1.0,4.6017,84.9
10%,4,85,40,0.10,0.020,11.5,1.0,4.6017,81.5
10%,4,85,50,0.10,0.020,11.5,1.0,4.6017,80.8
10%,4,90,40,0.10,0.020,11.5,1.0,4.6017,77.9
10%,4,90,50,0.10,0.020,11.5,1.0,4.6017,77.2
6%,"7,911",80,40,0.07,0.020,10.5,1.0,4.6017,112.7
6%,"7,911",80,50,0.06,0.020,10.5,1.0,4.6017,109.3
6%,"7,911",85,40,0.07,0.020,10.5,1.0,4.6017,107.0
6%,"7,911",85,50,0.06,0.020,10.5,1.0,4.6017,103.8
6%,"7,911",90,40,0.07,0.020,10.5,1.0,4.6017,101.8
6%,"7,911",90,50,0.06,0.020,10.5,1.0,4.6017,98.8
6%,"5,956",80,40,0.07,0.020,11.0,1.0,4.6017,89.0
6%,"5,956",80,50,0.06,0.020,11.0,1.0,4.6017,86.4
6%,"5,956",85,40,0.07,0.020,11.0,1.0,4.6017,84.6
6%,"5,956",85,50,0.06,0.020,11.0,1.0,4.6017,82.2
6%,"5,956",90,40,0.07,0.020,11.0,1.0,4.6017,80.8
6%,"5,956",90,50,0.06,0.020,11.0,1.0,4.6017,78.5
6%,4,80,40,0.07,0.020,11.5,1.0,4.6017,65.2
6%,4,80,50,0.06,0.020,11.5,1.0,4.6017,63.5
6%,4,85,40,0.07,0.020,11.5,1.0,4.6017,62.3
6%,4,85,50,0.06,0.020,11.5,1.0,4.6017,60.7
6%,4,90,40,0.07,0.020,11.5,1.0,4.6017,59.7
6%,4,90,50,0.06,0.020,11.5,1.0,4.6017,58.2
4%,"7,911",80,40,0.05,0.020,10.5,1.0,4.6017,94.7
4%,"7,911",80,50,0.05,0.020,10.5,1.0,4.6017,90.3
4%,"7,911",85,40,0.05,0.020,10.5,1.0,4.6017,90.0
4%,"7,911",85,50,0.05,0.020,10.5,1.0,4.6017,85.8
4%,"7,911",90,40,0.05,0.020,10.5,1.0,4.6017,85.9
4%,"7,911",90,50,0.05,0.020,10.5,1.0,4.6017,81.9
4%,"5,956",80,40,0.05,0.020,11.0,1.0,4.6017,75.4
4%,"5,956",80,50,0.05,0.020,11.0,1.0,4.6017,72.1
4%,"5,956",85,40,0.05,0.020,11.0,1.0,4.6017,71.9
4%,"5,956",85,50,0.05,0.020,11.0,1.0,4.6017,68.7
4%,"5,956",90,40,0.05,0.020,11.0,1.0,4.6017,68.7
4%,"5,956",90,50,0.05,0.020,11.0,1.0,4.6017,65.7
4%,4,80,40,0.05,0.020,11.5,1.0,4.6017,56.1
4%,4,80,50,0.05,0.020,11.5,1.0,4.6017,53.9
4%,4,85,40,0.05,0.020,11.5,1.0,4.6017,53.7
4%,4,85,50,0.05,0.020,11.5,1.0,4.6017,51.6
4%,4,90,40,0.05,0.020,11.5,1.0,4.6017,51.6
4%,4,90,50,0.05,0.020,11.5,1.0,4.6017,49.6
